TimeStamp,ChargingStatus,CurrentLevel,_time
1666006672,1,54,2022-10-17 17:07:52+05:30
1666006671,1,54,2022-10-17 17:07:51+05:30
1666006670,1,54,2022-10-17 17:07:50+05:30
1666006669,1,54,2022-10-17 17:07:49+05:30
1666006668,1,54,2022-10-17 17:07:48+05:30
1666006667,1,54,2022-10-17 17:07:47+05:30
1666006666,1,54,2022-10-17 17:07:46+05:30
1666006665,1,54,2022-10-17 17:07:45+05:30
1666006664,1,55,2022-10-17 17:07:44+05:30
1666006663,1,55,2022-10-17 17:07:43+05:30
1666006662,1,55,2022-10-17 17:07:42+05:30
1666006661,1,55,2022-10-17 17:07:41+05:30
1666006660,1,55,2022-10-17 17:07:40+05:30
1666006659,1,55,2022-10-17 17:07:39+05:30
1666006658,1,55,2022-10-17 17:07:38+05:30
1666006657,1,55,2022-10-17 17:07:37+05:30
1666006656,1,55,2022-10-17 17:07:36+05:30
1666006655,1,55,2022-10-17 17:07:35+05:30
1666006654,1,55,2022-10-17 17:07:34+05:30
1666006653,1,55,2022-10-17 17:07:33+05:30
1666006652,1,55,2022-10-17 17:07:32+05:30
1666006651,1,55,2022-10-17 17:07:31+05:30
1666006650,1,55,2022-10-17 17:07:30+05:30
1666006649,1,55,2022-10-17 17:07:29+05:30
1666006648,1,55,2022-10-17 17:07:28+05:30
1666006647,1,55,2022-10-17 17:07:27+05:30
1666006646,1,55,2022-10-17 17:07:26+05:30
1666006645,1,55,2022-10-17 17:07:25+05:30
1666006644,1,55,2022-10-17 17:07:24+05:30
1666006643,1,55,2022-10-17 17:07:23+05:30
1666006642,1,55,2022-10-17 17:07:22+05:30
1666006641,1,55,2022-10-17 17:07:21+05:30
1666006640,1,55,2022-10-17 17:07:20+05:30
1666006639,1,55,2022-10-17 17:07:19+05:30
1666006638,1,55,2022-10-17 17:07:18+05:30
1666006637,1,55,2022-10-17 17:07:17+05:30
1666006636,1,55,2022-10-17 17:07:16+05:30
1666006635,1,55,2022-10-17 17:07:15+05:30
1666006633,1,55,2022-10-17 17:07:13+05:30
1666006632,1,55,2022-10-17 17:07:12+05:30
1666006631,1,55,2022-10-17 17:07:11+05:30
1666006630,1,55,2022-10-17 17:07:10+05:30
1666006629,1,55,2022-10-17 17:07:09+05:30
1666006628,1,55,2022-10-17 17:07:08+05:30
1666006627,1,55,2022-10-17 17:07:07+05:30
1666006626,1,55,2022-10-17 17:07:06+05:30
1666006625,1,55,2022-10-17 17:07:05+05:30
1666006624,1,55,2022-10-17 17:07:04+05:30
1666006623,1,55,2022-10-17 17:07:03+05:30
1666006622,1,55,2022-10-17 17:07:02+05:30
1666006621,1,55,2022-10-17 17:07:01+05:30
1666006620,1,55,2022-10-17 17:07:00+05:30
1666006619,1,55,2022-10-17 17:06:59+05:30
1666006618,1,55,2022-10-17 17:06:58+05:30
1666006617,1,55,2022-10-17 17:06:57+05:30
1666006616,1,55,2022-10-17 17:06:56+05:30
1666006615,1,55,2022-10-17 17:06:55+05:30
1666006614,1,55,2022-10-17 17:06:54+05:30
1666006613,1,55,2022-10-17 17:06:53+05:30
1666006612,1,55,2022-10-17 17:06:52+05:30
1666006611,1,55,2022-10-17 17:06:51+05:30
1666006610,1,55,2022-10-17 17:06:50+05:30
1666006609,1,55,2022-10-17 17:06:49+05:30
1666006608,1,55,2022-10-17 17:06:48+05:30
1666006607,1,55,2022-10-17 17:06:47+05:30
1666006606,1,55,2022-10-17 17:06:46+05:30
1666006605,1,55,2022-10-17 17:06:45+05:30
1666006604,1,55,2022-10-17 17:06:44+05:30
1666006603,1,55,2022-10-17 17:06:43+05:30
1666006602,1,55,2022-10-17 17:06:42+05:30
1666006601,1,55,2022-10-17 17:06:41+05:30
1666006600,1,55,2022-10-17 17:06:40+05:30
1666006599,1,55,2022-10-17 17:06:39+05:30
1666006598,1,55,2022-10-17 17:06:38+05:30
1666006597,1,55,2022-10-17 17:06:37+05:30
1666006596,1,55,2022-10-17 17:06:36+05:30
1666006595,1,55,2022-10-17 17:06:35+05:30
1666006594,1,55,2022-10-17 17:06:34+05:30
1666006593,1,55,2022-10-17 17:06:33+05:30
1666006592,1,55,2022-10-17 17:06:32+05:30
1666006591,1,55,2022-10-17 17:06:31+05:30
1666006590,1,55,2022-10-17 17:06:30+05:30
1666006589,1,55,2022-10-17 17:06:29+05:30
1666006587,1,55,2022-10-17 17:06:27+05:30
1666006586,1,55,2022-10-17 17:06:26+05:30
1666006585,1,55,2022-10-17 17:06:25+05:30
1666006584,1,55,2022-10-17 17:06:24+05:30
1666006583,1,55,2022-10-17 17:06:23+05:30
1666006582,1,55,2022-10-17 17:06:22+05:30
1666006581,1,55,2022-10-17 17:06:21+05:30
1666006580,1,55,2022-10-17 17:06:20+05:30
1666006579,1,55,2022-10-17 17:06:19+05:30
1666006578,1,55,2022-10-17 17:06:18+05:30
1666006577,1,55,2022-10-17 17:06:17+05:30
1666006576,1,55,2022-10-17 17:06:16+05:30
1666006575,1,55,2022-10-17 17:06:15+05:30
1666006574,1,56,2022-10-17 17:06:14+05:30
1666006573,1,56,2022-10-17 17:06:13+05:30
1666006572,1,56,2022-10-17 17:06:12+05:30
1666006571,1,56,2022-10-17 17:06:11+05:30
1666006570,1,56,2022-10-17 17:06:10+05:30
1666006569,1,56,2022-10-17 17:06:09+05:30
